ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
66932,99999,ATHOL,KS,1.000000000,1.000000000,0.000000000,1.000000000
66933,99999,BARNES,KS,0.976415094,0.944444444,1.000000000,0.974025974
66933,31740,BARNES,KS,0.023584906,0.055555556,0.000000000,0.025974026
66935,99999,BELLEVILLE,KS,1.000000000,1.000000000,1.000000000,1.000000000
66936,99999,BURR OAK,KS,1.000000000,1.000000000,1.000000000,1.000000000
66937,99999,CLIFTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66938,99999,CLYDE,KS,1.000000000,1.000000000,1.000000000,1.000000000
66939,99999,COURTLAND,KS,1.000000000,1.000000000,1.000000000,1.000000000
66940,99999,CUBA,KS,1.000000000,1.000000000,1.000000000,1.000000000
66941,99999,ESBON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66942,99999,FORMOSO,KS,1.000000000,0.000000000,1.000000000,1.000000000
66943,99999,GREENLEAF,KS,1.000000000,1.000000000,1.000000000,1.000000000
66944,99999,HADDAM,KS,1.000000000,1.000000000,1.000000000,1.000000000
66945,99999,HANOVER,KS,1.000000000,1.000000000,1.000000000,1.000000000
66946,99999,HOLLENBERG,KS,1.000000000,1.000000000,0.000000000,1.000000000
66948,99999,JAMESTOWN,KS,1.000000000,1.000000000,1.000000000,1.000000000
66949,99999,JEWELL,KS,1.000000000,1.000000000,1.000000000,1.000000000
66951,99999,KENSINGTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66952,99999,LEBANON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66953,99999,LINN,KS,1.000000000,1.000000000,1.000000000,1.000000000
66955,99999,MAHASKA,KS,1.000000000,1.000000000,1.000000000,1.000000000
66956,99999,MANKATO,KS,1.000000000,1.000000000,1.000000000,1.000000000
66958,99999,MORROWVILLE,KS,1.000000000,1.000000000,1.000000000,1.000000000
66959,99999,MUNDEN,KS,1.000000000,0.000000000,1.000000000,1.000000000
66960,99999,NARKA,KS,1.000000000,1.000000000,1.000000000,1.000000000
66961,99999,NORWAY,KS,1.000000000,1.000000000,0.000000000,1.000000000
66962,99999,PALMER,KS,1.000000000,1.000000000,0.000000000,1.000000000
66963,99999,RANDALL,KS,1.000000000,1.000000000,1.000000000,1.000000000
66964,99999,REPUBLIC,KS,1.000000000,1.000000000,1.000000000,1.000000000
66966,99999,SCANDIA,KS,1.000000000,1.000000000,1.000000000,1.000000000
66967,99999,SMITH CENTER,KS,1.000000000,1.000000000,1.000000000,1.000000000
66968,99999,WASHINGTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66970,99999,WEBBER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67001,48620,ANDALE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67002,48620,ANDOVER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67003,99999,ANTHONY,KS,1.000000000,1.000000000,1.000000000,1.000000000
67004,99999,ARGONIA,KS,0.065000000,0.047619048,0.000000000,0.063981043
67004,48620,ARGONIA,KS,0.935000000,0.952380952,1.000000000,0.936018957
67005,49060,ARKANSAS CITY,KS,1.000000000,1.000000000,1.000000000,1.000000000
67008,49060,ATLANTA,KS,0.758992806,1.000000000,1.000000000,0.761565836
67008,48620,ATLANTA,KS,0.241007194,0.000000000,0.000000000,0.238434164
67009,99999,ATTICA,KS,1.000000000,1.000000000,1.000000000,1.000000000
67010,48620,AUGUSTA,KS,1.000000000,1.000000000,1.000000000,1.000000000
67012,48620,BEAUMONT,KS,1.000000000,1.000000000,1.000000000,1.000000000
67013,48620,BELLE PLAINE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67016,48620,BENTLEY,KS,1.000000000,0.000000000,1.000000000,1.000000000
67017,48620,BENTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
67018,99999,BLUFF CITY,KS,0.946236559,1.000000000,1.000000000,0.947368421
67018,48620,BLUFF CITY,KS,0.053763441,0.000000000,0.000000000,0.052631579
67019,49060,BURDEN,KS,1.000000000,1.000000000,1.000000000,1.000000000
67020,48620,BURRTON,KS,0.819905213,0.766666667,1.000000000,0.819523269
67020,26740,BURRTON,KS,0.180094787,0.233333333,0.000000000,0.180476731
67021,99999,BYERS,KS,1.000000000,1.000000000,1.000000000,1.000000000
67022,48620,CALDWELL,KS,1.000000000,1.000000000,1.000000000,1.000000000
67023,49060,CAMBRIDGE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67024,99999,CEDAR VALE,KS,0.907990315,1.000000000,1.000000000,0.910377358
67024,49060,CEDAR VALE,KS,0.092009685,0.000000000,0.000000000,0.089622642
67025,48620,CHENEY,KS,0.816837315,0.864406780,0.476190476,0.810650888
67025,99999,CHENEY,KS,0.156996587,0.101694915,0.523809524,0.163528779
67025,26740,CHENEY,KS,0.026166098,0.033898305,0.000000000,0.025820334
67026,48620,CLEARWATER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67028,99999,COATS,KS,1.000000000,1.000000000,1.000000000,1.000000000
67029,99999,COLDWATER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67030,48620,COLWICH,KS,1.000000000,1.000000000,1.000000000,1.000000000
67031,48620,CONWAY SPRINGS,KS,1.000000000,1.000000000,1.000000000,1.000000000
67035,26740,CUNNINGHAM,KS,0.037815126,0.000000000,0.000000000,0.035643564
67035,99999,CUNNINGHAM,KS,0.962184874,1.000000000,1.000000000,0.964356436
67036,99999,DANVILLE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67037,48620,DERBY,KS,1.000000000,1.000000000,1.000000000,1.000000000
67038,49060,DEXTER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67039,48620,DOUGLASS,KS,0.984514592,1.000000000,1.000000000,0.985185185
67039,49060,DOUGLASS,KS,0.015485408,0.000000000,0.000000000,0.014814815
67041,48620,ELBING,KS,1.000000000,1.000000000,1.000000000,1.000000000
67042,48620,EL DORADO,KS,1.000000000,1.000000000,1.000000000,1.000000000
67045,99999,EUREKA,KS,0.998145573,1.000000000,1.000000000,0.998378597
67045,48620,EUREKA,KS,0.001854427,0.000000000,0.000000000,0.001621403
67047,99999,FALL RIVER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67049,99999,FREEPORT,KS,0.878048780,0.000000000,1.000000000,0.880952381
67049,48620,FREEPORT,KS,0.121951220,0.000000000,0.000000000,0.119047619
67050,48620,GARDEN PLAIN,KS,1.000000000,1.000000000,1.000000000,1.000000000
67051,49060,GEUDA SPRINGS,KS,0.152263374,0.333333333,0.000000000,0.156000000
67051,48620,GEUDA SPRINGS,KS,0.847736626,0.666666667,1.000000000,0.844000000
67052,48620,GODDARD,KS,1.000000000,1.000000000,1.000000000,1.000000000
67053,99999,GOESSEL,KS,1.000000000,1.000000000,1.000000000,1.000000000
67054,99999,GREENSBURG,KS,1.000000000,1.000000000,1.000000000,1.000000000
67055,48620,GREENWICH,KS,1.000000000,1.000000000,1.000000000,1.000000000
67056,48620,HALSTEAD,KS,1.000000000,1.000000000,1.000000000,1.000000000
67057,99999,HARDTNER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67058,99999,HARPER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67059,99999,HAVILAND,KS,1.000000000,1.000000000,1.000000000,1.000000000
67060,48620,HAYSVILLE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67061,99999,HAZELTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
67062,99999,HESSTON,KS,0.000560224,0.000000000,0.000000000,0.000508647
67062,48620,HESSTON,KS,0.992717087,1.000000000,1.000000000,0.993387589
67062,32700,HESSTON,KS,0.006722689,0.000000000,0.000000000,0.006103764
